Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.235,-0.065,-2.826%,335208311.00,United States,,335642,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$59.55,3.06,5.417%,834730394.00,United States,2014,103302,,
LGL,LGL Group Inc. (The) Common Stock,$11.37,0.145,1.292%,60035919.00,United States,,1032,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$105.795,-0.765,-0.718%,26828390385.00,United States,,1208281,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$1.63,0.08,5.161%,106434288.00,United States,,281488,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$3.40,-0.01,-0.293%,88907076.00,United States,2017,33864,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$12.95,-0.04,-0.308%,117251579.00,,2020,3143,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$19.28,-0.16,-0.823%,534150819.00,United Kingdom,2012,10168,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$15.52,-0.06,-0.385%,1516680391.00,Canada,,119268,,
MHH,Mastech Digital Inc Common Stock,$17.35,0.00,0.00%,198449526.00,United States,,61,Consumer Services,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$5.44,0.84,18.261%,391812937.00,,2020,90141,Consumer Services,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$2.2235,0.0835,3.902%,23649764.00,United States,2021,193943,Capital Goods,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$2.0638,0.0838,4.232%,140020430.00,United States,2015,96333,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.47,-0.06,-1.325%,651928737.00,,,30724,,
MSN,Emerson Radio Corporation Common Stock,$0.9798,0.0067,0.689%,20617590.00,United States,,162637,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$7.11,-0.16,-2.201%,312424449.00,,,83774,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.13,0.12,11.881%,244359707.00,United States,2017,890882,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$9.3599,0.1481,1.608%,19858582.00,United States,,1266,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$8.39,0.20,2.442%,57553747.00,United States,2017,6630,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.373,-0.0019,-0.507%,197593687.00,Canada,,1393077,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.205,0.075,6.637%,36377132.00,United States,,21497,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.29,0.02,0.131%,287899936.00,United States,2002,12668,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.7301,0.0501,0.395%,64636026.00,United States,2002,6260,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.78,0.04,0.291%,76493386.00,United States,2002,12860,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.5098,0.0398,8.468%,22912127.00,United States,2007,476759,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$63.75,0.00,0.00%,232859370.00,United States,,4,Finance,Real Estate
NES,Nuverra Environmental Solutions Inc. Common Stock,$1.4401,0.0101,0.706%,23343475.00,United States,2017,5243,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$2.981,-0.059,-1.941%,463723648.00,,2021,87088,,
NFGC,New Found Gold Corp Common Shares,$5.7544,-0.1256,-2.136%,944828701.00,,2021,20753,,
NG,Novagold Resources Inc.,$7.015,0.045,0.646%,2326718034.00,Canada,,231909,,
NGD,New Gold Inc.,$1.48,-0.01,-0.671%,1007732000.00,Canada,,4306737,,
NHC,National HealthCare Corporation Common Stock,$67.09,0.20,0.299%,1034751881.00,United States,,5664,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.78,0.01,0.078%,187372270.00,United States,,19222,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.24,0.03,0.576%,296892783.00,,2013,162210,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$4.67,0.18,4.009%,53821750.00,United States,,34380,Health Care,Biotechnology: Pharmaceutical Preparations
NOG,Northern Oil and Gas Inc. Common Stock,$20.24,0.10,0.497%,1562428601.00,United States,,449067,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$5.1186,0.0286,0.562%,242838228.00,United States,2003,68630,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.765,-0.005,-0.181%,66635474.00,United States,,3687,,
NXE,Nexgen Energy Ltd. Common Shares,$4.675,0.015,0.322%,2229093365.00,,,742950,,
OGEN,Oragenics Inc. Common Stock,$0.487,-0.0001,-0.021%,56684271.00,United States,,1135326,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$1.7592,0.0192,1.103%,98221718.00,United States,2007,221587,Capital Goods,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$4.57,0.06,1.33%,1131531790.00,,2020,11538,,
OZ,Belpointe PREP LLC Class A Units,$100.05,-0.02,-0.02%,0.00,,,6498,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.365,0.00,0.00%,,United States,,11,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$27.02,0.00,0.00%,,United States,,2,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$25.20,-0.80,-3.077%,,United States,,727,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.25,0.29,1.21%,,United States,,1675,,
